OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
,4,961,פארק אריאל שרון,שטח פתוח,0,1747334,פנאי/טבע/ספורט,0,3,0,1,0,0,0,1,0,1,2,1,1,0,0,2,2.289202179994402,202204,5952.028743393887453,1747333.649669065838680
,2,1628,ביה""ח אל-אהלי,לא ידוע,0,5664350,עתידי/לא ידוע,0,5,0,0,1,0,0,1,0,1,2,0,0,0,1,2,0.353085537172101,202204,12895.659606548160809,5664349.823043471202254
,13,2333,מרחביה (קיבוץ) מרחביה (מושב) סולם,מגורים,4461,17808220,מגורים,0,1,1,0,0,0,0,1,0,1,2,0,0,0,1,2,0.729999980683226,202204,23567.164533215924166,17808219.649311434477568
,8,579,רחובות,מגורים,7926,468797,מגורים,8400,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,17.064950402256784,202204,2786.267443698008719,468797.143350737518631
,20,1221,ירושלים,שטח פתוח,0,814998,פנאי/טבע/ספורט,3000,3,0,0,4,0,3,1,0,4,2,0,0,0,2,2,24.539924492728943,202204,5288.666934007470445,814998.432693869923241
,56,2577,מפעלי צומת מלאכי,תעשיה,0,1332767,תעשיה/מסחר/מתקנים,0,4,0,0,1,0,0,1,0,1,2,0,0,0,2,2,42.017837918581328,202204,5550.914441690916647,1332767.290609101299196
,9,172,רמת השרון,תעשיה,0,411266,תעשיה/מסחר/מתקנים,2650,4,0,0,1,0,0,1,0,1,1,0,0,0,1,1,21.883624406788087,202204,3016.272316728075111,411266.426104822370689
,28,1863,פוריידיס,מגורים,3722,860298,מגורים,537,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,32.546868633135510,202204,4900.130890056983844,860297.815916262799874
,8,814,קריית עקרון,מגורים,4656,324482,מגורים,469,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,24.654708272625946,202204,3125.017409042815416,324481.632941582123749
,25,2426,באר שבע,מגורים,3512,395787,מגורים,9000,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,63.165346490823303,202204,2790.269367722329207,395786.636009857291356
,16,1440,בסיס שדות מיכה,בסיס צבאי,0,46822425,מוסדי/ציבורי,0,2,0,0,5,0,0,5,0,5,2,0,0,0,1,2,0.341716601772484,202204,37221.919996267410170,46822425.123649217188358
,79,407,פתח תקווה,תעשיה,0,1161177,תעשיה/מסחר/מתקנים,7900,4,0,0,7,0,3,2,2,7,3,0,0,0,2,3,68.034437677168469,202204,4929.175130518992773,1161176.643729524454102
,10,1058,ירושלים,מגורים,4407,215034,מגורים,3000,1,0,0,3,0,2,1,0,3,2,0,0,0,2,2,46.504285001661806,202204,2217.069382097850394,215033.947939263132866
